Key,EN,ZH
QUEST_COURIER_SLAVE_NAME,Queen&#8217;s Egg,女王之卵
QUEST_STEELSENTINEL_DESC_2,Return to Steel Seer Zi and inform her of Sula&#8217;s escape.,返回告知梓关于苏拉逃脱的消息。
QUEST_SHAKRA_FINAL_TITLE,Trail&#8217;s End,终迹
QUEST_EXTRACTOR_B2_NAME,Advanced Alchemy,高阶炼金
QUEST_ROACH_KILL_LOC,Crull and Benjin of Sinner&#8217;s Road,罪途 克鲁尔与班金
QUEST_ROCK_ROLLERS_TITLE,Volatile Flintbeetles,暴烈燧甲虫
QUEST_SHELL_FLOWER_TITLE,Rite of the Pollip,花芯仪式
QUEST_CROW_PRE_DESC_WALL,"Those blasted crawbugs are fouling up my roof! I&#8217;ve come up with a clever solution to keep them away, but I&#8217;ll need some help. Enquire at the Halfway Home if you&#8217;re fit for the task.",那些该死的腐囊虫弄脏了我的屋顶！我有个绝妙的解决办法，但需要帮助。有能力者请来中途酒馆洽谈。
UI_PROMPT_ACCEPT,Promise Wish?,承接祈愿？
QUEST_SAVE_COURIER_SHORT_DESC,"Search for traces of the courier, Tipp, and track his location.&lt;br&gt;&lt;br&gt;Tipp was last seen in lower Shellwood.",寻找送货员蒂普的踪迹。&lt;br&gt;&lt;br&gt;他最后出现在甲木林下层。
MQ_BLACKTHREAD_0_NAME,After the Fall,坠落之后
SQ_BLACKTHREAD_5_ANT_DESC,Claim the Hunter&#8217;s Heart.,获取猎手之心。
QUEST_COURIER_FIXER_NAME,Survivor&#8217;s Camp Supplies,幸存者营地补给
QUEST_PINSMITHTOOLS_LOC,The Citadel,圣堡
QUEST_PILGRIM_RAGS_DESC_WALL,"Those mad, violent pilgrims who haunt the great path... we could make use of their shawls here in Bone Bottom. And felling them would surely be a mercy!",那些在外游荡的癫狂朝圣者……其披肩对骸底镇大有用处。诛灭此等暴虐之徒，实为赐予慈悲解脱！
MQ_DIVINGBELL_1_DESC,"In Deep Docks, find a way to descend beneath Pharloom.",在深坞找到方法潜入纺络之下。
QUEST_COURIER_MASKMAKER_NAME,Liquid Lacquer,液状漆
MQ_BLACKTHREAD_5_DESC,Enliven and acquire the old hearts of Pharloom.,激活并获取纺络的古老心脏。
SQ_MELODY_CONDUCTOR_PROMPT,"One part of the Threefold Melody, entrusted to the Conductors.",三重旋律之一，托付给了指挥家。
QUEST_FLEAS_LOC,Mooshka of the Flea Caravan,跳蚤旅团 穆什卡
QUEST_BROODMOTHER_DESC_READY,Turn in the Broodmother&#8217;s Eye to Songclave&#8217;s wishwall and collect the reward.,向圣歌盟地祈愿墙提交育母之眼领取奖励。
QUEST_SPRINT_KILL_TITLE,Fastest in Pharloom,纺络竞速冠军
COURIER_SUPPLIES_SLAVE_DESC,"Fragile egg containing a young Silkeater Queen. Though the Queen cannot gather Silk itself, with time and care it could be raised to breed more Silkeaters.",内含噬丝蛆女王的脆弱虫卵。虽不能自行收集灵丝，但培养后可繁殖更多噬丝蛆。
QUEST_SONGCLAVE_DONATE_LOC,Caretaker of Songclave,圣歌盟地看守者
MQ_CITADEL_SEEKER_NAME,The Great Citadel,至伟圣堡
QUEST_BELLHART_DONATION_CONT_LOC,Pavo of Bellhart,钟心镇 帕沃
QUEST_HUNTRESS_LOC,"Huntress, in the Putrified Ducts.",腐殖渠 女猎手
TYPE_SPRINT_TITLE,Sprint,竞速
QUEST_WITCH_CURSE_DESC,Bind the Twisted Bud.,将扭曲的畸芽缚于体内。
QUEST_SHAKRA_FINAL_DESC_WALL,"Child Wielding Needle, I have caught fresh scent of my master in those stricken swamps beside the Citadel. I ask you now to follow, to meet together at trail&#8217;s end.",使针的小姑娘，我在圣堡旁的沼泽嗅到了导师的新踪迹。请随我一同前往踪迹终点。
QUEST_FLEAS_DESC_READY,"Return to Fleamaster Mooshka of the Flea Caravan, in the Marrow.",返回髓骨洞窟向穆什卡复命。
QUEST_FLEAGAMES_PRE_DESC_WALL,"As was warned long ago, the black times have come. There is one last act to perform. Meet us at what was once called Fleatopia.",正如古老预言警示，黑暗时代已至，但尚存最后一幕等待上演。请前往曾经的蚤托邦。
SQ_MELODY_LIBRARIAN_LOC,Whispering Vaults,低语书库
QUEST_COURIER_FIXER_LOC,The Marrow,髓骨洞窟
UI_BOARD_REWARD_TITLE,Reward,奖励
QUEST_SAVE_CITYMERCHANT_BRIDGE_DESC,"Search for traces of the merchant, Jubilana, and track her location.&lt;br&gt;&lt;br&gt;Jubilana was last seen near the Citadel&#8217;s Memorium.",寻找朱比拉娜的踪迹。&lt;br&gt;&lt;br&gt;她最后出现在圣堡忆廊附近。
QUESTBOARD_PROMPT,Promise Wish,承诺祈愿
QUEST_COURIER_PILGRIMSREST_LOC,Pilgrim&#8217;s Rest,朝圣者憩所
INV_TOGGLE_COMPLETED_ON,Show Completed,显示已完成
QUEST_SAVE_CITYMERCHANT_BRIDGE_DESC_WALL,Our dear merchant left to scavenge treasures from the Citadel&#8217;s Memorium. She&#8217;s been gone far too long. Please make sure she&#8217;s safe!,我们的商人去圣堡忆廊寻宝后失踪太久，请确认她的安全！
GARMOND_BLACK_THREADED_DESC,Seek out the distressed bug near the Blasted Steps Bellway.,在蚀阶钟道附近寻找遇险者。
QUEST_BROLLY_GET_DESC_READY,Give the Spine Cores to the Seamstress waiting in Far Fields.,将棘刺芯交给在远野等待的裁缝。
QUEST_EXTRACTOR_B_DESC_INV,Collect Plasmium from Plasmium buds in the lower Wormways.&lt;br&gt;&lt;br&gt;Plasmium can be extracted from buds using a fully charged stab from the Needle Phial tool.,在沙噬虫道下层的生质花苞上收集生质液。&lt;br&gt;&lt;br&gt;使用蓄满力的储液注射器抽取。
COURIER_SUPPLIES_MASK_NAME,Liquid Lacquer,液状漆
QUEST_SAVE COURIER_TALL_LOC,Tipp of Bellhart,钟心镇 蒂普
SQ_MELODY_CONDUCTOR_LOC,High Halls,高庭
MQ_CITADEL_ASCENT_DESC_MELODY_COMPLETABLE,Play the Threefold Melody before the statues at the Citadel&#8217;s heart.,在圣堡核心的雕像前演奏三重旋律。
TYPE_DONATE_1_TITLE,Donate,捐献
QUEST_SONGCLAVE_DONATE_2_DESC_INV,Donate rosaries to aid the Songclave&#8217;s residents.,捐献念珠援助圣歌盟地居民。
QUEST_PINSTRESS_BATTLE_PRE_DESC,Travel to Pinstress&#8217;s home at the far edge of Blasted Steps and accept her challenge.,前往蚀阶边缘的针姬居所，接受她的挑战。
QUEST_ROACH_KILL_TITLE,Roach Guts,蟑螂内脏
MQ_THREADSPUN_TOWN_LOC,Bellhart,钟心镇
QUEST_COURIER_FLEATOPIA_LOC,Fleatopia,蚤托邦
TYPE_HUNT_1_TITLE,Hunt,狩猎
COURIER_SUPPLIES_MEAT_TARGET_MASK,Deliver to Mask Maker on Mount Fay.,将物资送至费耶山的面甲匠。
QUEST_FIXER2_DESC_INV,Donate shell shards to aid the construction of an icon of hope.,捐献甲壳碎片帮助建造希望丰碑。
QUEST_ANT_TRAPPER_DESC_READY,Turn in the Grass Doll to Bellhart&#8217;s wishwall and collect the reward.,向钟心镇祈愿墙提交草娃娃领取奖励
ITEM_EXTRACTOR_PINS_NAME,Steel Spines,钢棘
QUEST_MOSSBERRY1_PRE_DESC_WALL,"Sweetness! Sourness! Bitterness! I need it all with hastiness! If you have the precious fruits, come to me in Mosshome and share all you have!",甜味！酸味！苦味！我要所有莓果！如果有珍果，到苔栖乡找我分享！
QUEST_JOURNAL_DESC_READY,Present the filled out Hunter&#8217;s Journal to Nuu at the Halfway Home in Greymoor.,向灰沼中途酒馆的努努出示完整猎手日志。
QUEST_FLEAGAMES_PRE_DESC,Speak to Fleamaster Mooshka of Fleatopia.,与蚤托邦的跳蚤首领穆什卡交谈。
QUEST_SPRINT_KILL_LOC,Sprintmaster Swift of Far Fields,远野的飞毛腿斯威夫特
SQ_MELODY_CONDUCTOR_DESC,Search the gilded heights of the Citadel for the melody of the Conductors.,在圣堡鎏金穹顶寻找指挥家的旋律。
QUEST_FLEAS_TITLE,The Lost Fleas,迷途跳蚤
QUEST_EXTRACTOR_B2_DESC_READY,Give the Plasmified Blood to the Alchemist at the top of the Wormways.,将生质血交给沙噬虫道顶部的炼金师。
QUEST_SHELL_FLOWER_LOC,Greyroot of Shellwood,甲木林 灰蕨
QUEST_CROW_TITLE,Crawbug Clearing,清剿腐囊虫
COURIER_SUPPLIES_ITEM_TARGET_FIXER,Deliver to the Survivors&#8217; Camp in the Marrow.,将物资送至髓骨洞窟的幸存者营地。
MQ_TYPE_DEFEAT,Defeat,击败
MQ_CITADEL_ASCENT_DESC_MELODY,Learn the Threefold Melody and open the path to the Citadel&#8217;s crest.,学会三重旋律的三个部分，开启通往圣堡核心的道路。
SQ_BLACKTHREAD_5_FLOWER_NAME,Heart of the Woods,森之心
MQ_BLACKTHREAD_1_DESC,Confront the Caretaker and his family in the Ruined Chapel beside Bone Bottom.,在骸底镇旁的颓败教堂直面看守者及其家族。
QUEST_GOURMAND_DESC,Collect rare delicacies of Pharloom.,收集纺络的稀有美食。
QUEST_COURIER_PILGRIMSREST_NAME,Pilgrim&#8217;s Rest Supplies,朝圣者憩所补给
TYPE_GATHER_1_TITLE,Gather,收集
SQ_MELODY_ARCHITECT_DESC_GOT,The Architect&#8217;s Melody has been learned.,已学会建筑师的旋律。
COURIER_SUPPLIES_MEAT_TARGET_GOURMAND,Deliver to Mergwin in Choral Chambers.,将物资送至圣咏殿的梅尔格温。
QUEST_CROW_INV_DESC,Hunt Crawbugs in Greymoor and collect their Ragpelt.,猎杀灰沼腐囊虫并收集破毛皮。
SQ_MELODY_CONDUCTOR_DESC_GOT,The Conductor&#8217;s Melody has been learned.,已学会指挥家的旋律。
QUEST_FINEPINS_DESC_WALL,"Our settlement sits defenceless! No more! When the worst comes we must stand ready. Bring us pins of the choirbugs, those blades still sharp and strong.",我们的聚落需要防卫！带来机枢咏者的锋利尖钉。
MQ_BELLSHRINES_NAME,Grand Gate,巨扉圣门
QUEST_STEELSENTINEL_TITLE,A Vassal Lost,失踪侍从
QUEST_MOSSBERRY1_TITLE,Berry Picking,莓果采集
QUEST_ROCK_ROLLERS_DESC_INV,Track down Flintbeetles in the Marrow and defeat them to collect Flintgems.&lt;br&gt;&lt;br&gt;Flintbeetles can be tracked by their stone-sheddings and their aromatic dung.,在髓骨洞窟追踪并击败燧甲虫收集燧晶。&lt;br&gt;&lt;br&gt;可通过石屑和带香味的粪便追踪。
QUEST_SAVE_CITYMERCHANT_DESC,"Search for traces of the merchant, Jubilana, and track her location.&lt;br&gt;&lt;br&gt;Jubilana was last seen in the lower Choral Chambers.",寻找商人朱比拉娜的踪迹。&lt;br&gt;&lt;br&gt;她最后出现在圣咏殿下层。
QUEST_BELL_HOUSE_CONT_DESC_INV,Donate rosaries to complete the rebuilding of Bellhart.,捐献念珠完成钟心镇重建。
QUEST_FIXER2_TITLE,An Icon of Hope,希望丰碑
QUEST_SHINY_BELL_GOOMBAS_TITLE,Silver Bells,银光铃铛
QUEST_SAVE COURIER_SHORT_LOC,Frey of Bellhart,钟心镇 芙蕾
QUEST_DOCTOR_CURSE_CURE_DESC,Acquire Steel Spines from Crull and Benjin in Sinner&#8217;s Road so Yarnaby can remove the parasite.,从罪途的克鲁尔与班金身上获取钢棘用于寄生体清除。
QUEST_COURIER_SONGCLAVE_DESC,Deliver supplies to the Caretaker in Songclave.,向盟地看守者运送补给。
QUEST_CROW_INV_DESC_READY,Give the Ragpelt to Creige of the Halfway Home in Greymoor.,将破毛皮交给灰沼中途酒馆的克雷吉。
QUEST_DOCTOR_CURSE_CURE_NAME,Infestation Operation,寄生手术
QUEST_PINSMITHTOOLS_DESC_READY,Give Pale Oil to Plinney of Bellhart.,将苍白油交给钟心镇的普林尼。
QUEST_BROODMOTHER_DESC_WALL,Horrible cries have been heard from that prison beside the Citadel. What profanities must be happening within to cause such awful sound?,圣堡旁的监狱传出可怕哀嚎，里面究竟发生了什么？
INV_TOGGLE_COMPLETED_OFF,Hide Completed,隐藏已完成
MQ_DIVINGBELL_3_DESC,Use the diving bell in Deep Docks to descend beneath Pharloom.,使用深坞的潜钟潜入纺络之下。
QUEST_SONGCLAVE_LOC,Residents of Songclave,圣歌盟地居民
MQ_BLACKTHREAD_2_NAME,The Dark Below,暗藏其下
QUEST_PILGRIM_RAGS_LOC,Residents of Bone Bottom,骸底镇居民
QUEST_SONGCLAVE_DONATE_2_DESC_WALL,"How do all of these wretched, lost bugs keep finding their way here?! Each hungry and squalling for shelter! We need more rosaries, so empty your pockets.",为什么总有迷途的可怜虫找到这里？！我们需要更多念珠，快掏空你的口袋！
QUEST_THREADCORES_TITLE,Dark Hearts,暗蚀之心
QUEST_BROODMOTHER_DESC,Track down the wailing creature in the Slab and slay it.&lt;br&gt;&lt;br&gt;The creature can be tracked by its slime trail.,追踪并击杀罪石牢狱的哀嚎生物。&lt;br&gt;&lt;br&gt;可以通过生物的黏液痕迹追踪。
ITEM_EXTRACTOR_PINS_DESC,"Hard forged spines, intended for use in heavy machinery and able to pierce through even the toughest shell.",锻造尖刺，专门用在重型机械上，连最硬的甲壳都能扎穿。
MQ_TYPE_BELLSHRINES,Open,开启
MQ_BLACKTHREAD_4_DESC,Return to the Snail Shamans in the Ruined Chapel beside Bone Bottom.,返回骸底镇旁的颓败教堂寻找蜗牛萨满。
QUEST_THREADCORES_DESC,Destroy Void Masses throughout Pharloom.,清除纺络各地的虚空聚合体。
QUEST_FINEPINS_DESC_INV,Hunt pin-wielding choirbugs of the Citadel and collect Fine Pins.,猎杀机枢咏者并收集精致刺针。
QUEST_COURIER_FLEATOPIA_DESC,Deliver supplies to the Fleamaster Mooshka in Fleatopia.,向跳蚤首领穆什卡运送补给。
QUEST_EXTRACTOR_LOC,Alchemist Zylotol of the Wormways,沙噬虫道炼金师奇洛托。
QUEST_DOCTOR_CURSE_CURE_DESC_READY,Deliver the Steel Spines to Yarnaby in Greymoor so they can remove the parasite.,将钢棘交给灰沼的雅纳碧进行手术。
QUEST_SAVE_CITYMERCHANT_BRIDGE_NAME,The Lost Merchant,再寻商贾
MQ_SILK_SNARE_NAME,Soul Snare,魂丝陷阱
COURIER_SUPPLIES_ITEM_TARGET_FLEATOPIA,Deliver to Fleatopia.,送往蚤托邦。
QUEST_EXTRACTOR_B_NAME,Alchemist&#8217;s Assistant,炼金助手
COURIER_SUPPLIES_ITEM_TARGET_SONGCLAVE,Deliver to Songclave.,送往圣歌盟地。
QUEST_MOSSBERRY1_PRE_LOC,Druid of Mosshome,苔栖乡 德鲁伊
QUEST_SHININGCOGS_DESC_READY,Turn in the Shining Cogs to Songclave&#8217;s wishwall and collect the reward.,向圣歌盟地祈愿墙提交闪亮齿轮领取奖励。
UI_PROMPT_ACCEPTED,Wish Promised,祈愿应诺
TYPE_JOURNAL_TITLE,Learn,研习
UI_TITLE_QUESTS_COMPLETE,Completed,已完成
QUEST_FIXER3_DESC_WALL,"I&#8217;ve heard tell pilgrims sometimes fall down that big hole beside the settlement. Nasty way to end your journey, before it even begins. I could build a bridge, if I only had the materials!",听说有些朝圣者会掉进聚居地旁边的大坑里，还没开始旅程就悲惨结束。如果有材料，我可以造座桥！
MQ_CITADEL_ASCENT_NAME_SILK,Pale Monarch,苍白君主
SQ_MELODY_LIBRARIAN_PROMPT,"One part of the Threefold Melody, entrusted to the secretive Vaultkeepers.",三重旋律之一，托付给了神秘的书库管理员。
QUEST_SONGPILGRIM_CLOAKS_DESC_WALL,Our haunted brethren wandering the great halls still wear their fine white cloaks. This settlement would greatly benefit from their protection. Please fetch some for us!,那些游荡在外的同袍们，至今仍披完好的白色外衣。如果能拿到这些外衣，大家就更安全了！请帮我们带一些回来！
QUEST_ROCK_ROLLERS_DESC_READY,Turn in the Flintgems to Bone Bottom&#8217;s wishwall and collect the reward.,向骸底镇祈愿墙提交燧晶领取奖励。
QUEST_ROACH_KILL_DESC_READY,Deliver the Roach Guts to Crull and Benjin of Sinner&#8217;s Road.,将蟑螂内脏交给罪途的克鲁尔与班金。
SQ_BLACKTHREAD_5_CORAL_DESC,Claim the Encrusted Heart.,获取壳王之心
QUEST_SHELL_FLOWER_DESC_READY,Give the Pollip Hearts to Greyroot of Shellwood.,将花芯交给壳木林的灰蕨。
QUEST_SHELL_FLOWER_DESC_INV,Collect Pollip Hearts from the purple flowers of Shellwood.,从甲木林的紫色花朵中收集花芯。
QUEST_EXTRACTOR_B_DESC_READY,Give the collected Plasmium to the Alchemist at the top of the Wormways.,将生质液交给沙噬虫道顶部的炼金师。
QUEST_SONG_KNIGHT_TITLE,Final Audience,最终觐见
QUEST_PINSMITHTOOLS_NAME,Pinmaster&#8217;s Oil,针匠秘油
MQ_BELLSHRINES_LOC,Pharloom,纺络
QUEST_SAVE_CITYMERCHANT_DESC_WALL,"The old merchant pilgrim, Jubilana, was seen wandering down in the Choral Chambers, but she never made it up here. Has some foul fortune befallen her?",据说老商贩朱比拉娜在圣咏殿下层徘徊，但她从未到达这里。她遭遇不幸了吗？
QUEST_ANT_TRAPPER_DESC_WALL,A huge red-shell stole my precious keepsake and disappeared into the fields! Please chase down the thief and recover my treasure!,有个红壳大块头偷走了我的草娃娃并逃进原野！请追回我的宝物！
QUEST_SHININGCOGS_DESC_WALL,(shining cogs wall desc),(shining cogs wall desc)
QUEST_PINSTRESS_BATTLE_DESC,Find Pinstress on the stormward side of Mount Fay and defeat her in battle.,在费耶山风暴面找到针姬并击败她。
QUEST_BELL_HOUSE_START_DESC,"Harken, ye holy! Our home has been cleansed of evil, but now we are tasked with restoring its former glory! Share your rosaries with us, that the work may begin.",聆听吧虔信者们！我们的家园净化了邪恶，现在要重现昔日荣光！捐献念珠助力重建吧！
QUEST_SONG_KNIGHT_LOC,Second Sentinel,次席戍卫
QUEST_GOURMAND_DESC_READY,Deliver the rare delicacies to Mergwin in the dining chamber of the Citadel.,将稀有美食交给圣堡餐厅的梅尔格温。
SQ_TYPE_MELODY,Learn,学习
MQ_BLACKTHREAD_1_NAME,Awaiting the End,等候终局
SQ_MELODY_ARCHITECT_DESC,Search the mechanised core of the Citadel for the melody of the Architects.,在圣堡机械核心寻找建筑师的旋律。
TYPE_HERALD_TITLE,Witness,见证
QUEST_RUNTRESS_NAME,Runtfeast,遗孤盛宴
MQ_CITADEL_INVESTIGATE_DESC,Venture inside the Citadel and confront the veiled bugs.,潜入圣堡内部，直面覆面之虫
QUEST_SHININGCOGS_TITLE,Shining Cogs,闪亮齿轮
SQ_BLACKTHREAD_5_CORAL_NAME,Heart of Might,力量之心
QUEST_SONG_KNIGHT_DESC_WALL,"Attend this Sentinel&#8217;s request, Hunter in Red. Meet in halls high, the chamber of its fellows. The way shall be marked.",红衣猎手，应戍卫要求前往高庭，在其族裔群聚之厅会面，路径已有标记。
QUEST_SAVE CITYMERCHANT_BRIDGE_LOC,Residents of Songclave,圣歌盟地居民
QUEST_GOURMAND_TITLE,Great Taste of Pharloom,纺络珍馐
QUEST_COURIER_MASKMAKER_LOC,Mount Fay,费耶山
QUEST_FLEAS_PRE_DESC_WALL,"I am Mooshka, humble stranger to this land and master of the Flea Caravan! I wish for aid, that all fleas may travel safely together!",我是穆什卡，这片土地的新来者，也是跳蚤旅团的主事！希望能得到帮助，让所有跳蚤都能安全同行！
QUEST_FLEAS_PRE_DESC,"Speak to Fleamaster Mooshka of the Flea Caravan, in the Marrow.",在髓骨洞窟与跳蚤旅团的穆什卡对话。
QUEST_SAVE_SHERMA_DESC_WALL,"For the sake of our ailing brothers and sisters, I will descend into the holy Whiteward and search for healing supplies. If you are able, please join me! Company will make the work much merrier.",为了生病的同伴，我将前往圣堡白愈厅寻找治疗物资。如果愿意，请与我同行！
QUEST_WITCH_CURSE_TITLE,Rite of Rebirth,重生仪式
UI_PROMPT_PROGRESS,Wish Updated,祈愿更新
QUEST_COURIER_PILGRIMSREST_DESC,Deliver supplies to Mort in Pilgrim&#8217;s Rest.,向憩所的莫特运送补给。
Q_SOUL_SNARE_DESC,Acquire the necessary components to build a powerful trap.,收集必要组件制作强力陷阱。
UI_BOARD_DONATE_TITLE,Donation,捐献
QUEST_HUNTRESS_DESC,Use tools to acquire organs of various types so Huntress may feed her brood.,使用工具获取各类器官喂养幼兽。
QUEST_PILGRIM_RAGS_TITLE,Garb of the Pilgrims,朝圣者的衣装
QUEST_FLEAGAMES_TITLE,Ecstasy of the End,终幕狂欢
SQ_MELODY_LIBRARIAN_NAME,Vaultkeeper&#8217;s Melody,管理员的旋律
SQ_MELODY_CONDUCTOR_NAME,Conductor&#8217;s Melody,指挥家的旋律
QUEST_PINSMITHTOOLS_DESC_INV,Retrieve Pale Oil from the Citadel.,从圣堡取回苍白油。
MQ_BLACKTHREAD_3_DESC,Escape the Abyss.,逃离深渊
QUEST_MRMUSHROOM_TITLE,Passing of the Age,纪元终章
COURIER_SUPPLIES_ITEM_DESC,"Heavy cloth sack containing tools, trinkets and medical aids.",装有工具、饰品和药品的厚实布袋。
QUEST_SHINY_BELL_GOOMBAS_DESC_READY,Turn in the Silver Bells to Bellhart&#8217;s wishwall and collect the reward.,向钟心镇祈愿墙提交银光铃铛领取奖励。
QUEST_MRMUSHROOM_DESC_4,"Up towers spinning, near the surgeon spurned,",纺塔孤医灰沼别，
TYPE_WAYFARER_1_TITLE,Wayfarer,旅者助行
MQ_BLACKTHREAD_0_DESC,Discover the fate of Pharloom.,探明纺络的命运。
QUEST_BELLHART_LOC,Residents of Bellhart,钟心镇居民
QUEST_HUNTRESS_DESC_READY,Return to Huntress with the organs.,带着器官返回复命。
QUEST_COURIER_MASKMAKER_DESC,Deliver Liquid Lacquer to the Mask Maker upon Mount Fay.,将液状漆交给费耶山的面甲匠。
SQ_TYPE_BLACKTHREAD_5,Claim,获取
QUEST_COURIER_BONEBOTTOM_DESC,Deliver supplies to the fixer Flick in Bone Bottom.,向骸底镇的维修师弗利克运送补给。
QUEST_BELL_HOUSE_START_DESC_INV,Donate rosaries to aid the rebuilding of Bellhart.,捐献念珠帮助重建钟心镇。
SQ_MELODY_ARCHITECT_LOC,Cogwork Core,机枢核心
QUEST_ANT_TRAPPER_TITLE,The Hidden Hunter,隐秘猎手
SQ_MELODY_LIBRARIAN_RETURN_DESC,Find a means to play the Sacred Cylinder within the Whispering Vaults.,找到在低语书库演奏音筒的方法。
QUEST_BELL_HOUSE_CONT_DESC,The work of restoring our sacred home is almost complete! May those blessed with rosaries share them with us for this holy purpose!,重建家园的工程即将完成！请为这神圣事业捐献念珠！
QUEST_FIXER1_TITLE,Bone Bottom Repairs,骸底修缮
MQ_TYPE_SAVE,Save,拯救
QUEST_SONGCLAVE_DONATE_1_TITLE,Building Up Songclave,建设圣歌盟地
QUEST_BEASTFLY_DESC_WALL,"O Beastfly, raging through the scorching wildlands below! May you hinder good pilgrims no longer! May you be struck down by a holy fury!",在焦热远野横冲直撞的兽蝇啊！愿你不再阻碍虔信者！愿你被神圣怒火击溃！
MQ_TYPE_DESTROY,Destroy,毁灭
QUEST_EXTRACTOR_B2_DESC_INV,Collect Plasmified Blood from infected creatures in the Wormways.&lt;br&gt;&lt;br&gt;Plasmified Blood can be extracted with a fully charged stab from the Needle Phial tool.,从沙噬虫道感染生物身上收集生质血。&lt;br&gt;&lt;br&gt;使用蓄满力的储液注射器抽取。
QUEST_FINEPINS_TITLE,Fine Pins,精致刺针
QUEST_BROODMOTHER_LOC,Residents of Songclave,圣歌盟地居民
QUEST_SKULL_KING_LOC,Residents of Bone Bottom,骸底镇居民
QUEST_FINEPINS_DESC_READY,Turn in the Fine Pins to Songclave&#8217;s wishwall and collect the reward.,向圣歌盟地祈愿墙提交精致刺针领取奖励。
SQ_BLACKTHREAD_5_ANT_DESC_END,The Hunter&#8217;s Heart has been claimed from Skarrsinger Karmelita.,已从斯卡尔歌后卡梅莉塔处获得猎手之心。
QUEST_SHAKRA_FINAL_LOC,Shakra,沙克拉
